collection_id,collection_name
0,#TemanTapiMenikah
1,... Cameras Collection
2,.hack Collection
3,10 giorni... - Collezione
4,100 Girls Collection
5,100% Coco Collection
6,101 Dalmatians (Live-Action) Collection
7,12 Dogs of Christmas Collection
8,12 Rounds Collection
9,12 Westerns in 12 Months Collection
10,14+ (Коллекция)
11,1920 Collection
12,1981 Collection
13,2 Days In... Collection
14,2001 Maniacs Collection
15,20th Century Boys Collection
16,28 Days/Weeks Later Collection
17,3 A.M. Collection
18,3 Braves Universe
19,3 Little Pigs collection
20,30 Days of Night Collection
21,300 Collection
22,365 Days Collection
23,4 kings
24,4-2-4 Collection
25,47 Meters Down Collection
26,47 Ronin Collection
27,64 Collection
28,666 Collection
29,8 свиданий (Коллекция)
30,A California Christmas Collection
31,A Chinese Odyssey Collection
32,A Christmas Prince Collection
33,A Christmas Story Collection
34,A Doggone Collection
35,A Dogs Purpose Collection
36,A Few Best Men Collection
37,A Frozen Christmas Collection
38,A Haunted House Collection
39,A Man and a Woman Collection
40,A Menina que Matou os Pais
41,A Meowy Collection
42,A Monkeys Tale
43,A Quiet Place Collection
44,A Second Chance Collection
45,A Very Special Love Collection
46,A Wicked Trilogy Collection
47,ABCD Collection
48,AMV Hell
49,ARCHIE Collection
50,AVP Collection
51,Aadu Collection
52,Aashiqui Collection
53,Ab Tak Chhappan Collection
54,About Love Collection
55,Accident Man Collection
56,"Achtung, fertig Filmreihe"
57,Ada Apa Dengan Cinta? Collection
58,Admiral Yi
59,Admiral Yi Collection
60,Adventures of Bailey Collection
61,After Collection
62,Against the Wild Collection
63,Agent Cody Banks Collection
64,Ah Boys to Men Collection
65,Aileen Wuornos Collection
66,Ajin Collection
67,Akihabara Trilogy
68,Aladdin (Live-Action) Collection
69,Aldo Giovanni e Giacomo Collection
70,Alex Cross Collection
71,Algjör Sveppi
72,Alibi.com - Saga
73,Alice in Wonderland Collection
74,Alien Factor Collection
75,Alien Sex Files
76,Alienoid Movie Collection
77,Aliens Ate My Homework Collection
78,All Hallows Eve Collection
79,All for ...
80,Alligator Ladies Collection
81,"Alls Well, Ends Well"
82,Almighty Collection
83,Alone in the Dark Collection
84,Along Came the Devil Collection
85,Along with the Gods Collection
86,Alpha and Omega Collection
87,Alvin and the Chipmunks Collection
88,Always: Sunset on Third Street Collection
89,Amateur Porn Star Killer Collection
90,Ambra Collection
91,American Civil War Collection
92,American Guinea Pig Collection
93,American Pie Collection
94,American Poltergeist
95,American Psycho Collection
96,Amityville Scarecrow Collection
97,An American Girl Collection
98,Anaconda Collection
99,Analyze Collection
100,Anatomy Collection
