tconst,primaryTitle,startYear,endYear,runtimeMinutes
tt0120589,A Dangerous Practice,2022.0,,108
tt0273650,Higher Ed,2001.0,,83
tt0274652,Me & Mrs. Jones,2001.0,,99
tt0293429,Mortal Kombat,2021.0,,110
tt0473100,Ten Tricks,2022.0,,88
tt0482496,Dreammaker,2005.0,,76
tt0499097,Without Remorse,2021.0,,109
tt0770819,She's Out of His Mind,2011.0,,80
tt0840306,Cosmic Radio,2007.0,,90
tt0870154,Jungle Cruise,2021.0,,127
tt0887261,Hellraiser,2022.0,,121
tt0993840,Army of the Dead,2021.0,,148
tt0995854,A Journal for Jordan,2021.0,,131
tt10003618,Celts,2021.0,,106
tt10004108,Sacrifice,2020.0,,87
tt10005622,Chinese Speaking Vampires,2021.0,,80
tt10011228,Hunted,2020.0,,87
tt10015244,Ash and Bone,2022.0,,97
tt10016180,The Little Things,2021.0,,128
tt10022716,Howard's Mill,2021.0,,96
tt10022782,Everything I Ever Wanted to Tell My Daughter About Men,2021.0,,88
tt10023022,Clean,2021.0,,94
tt10023172,Simple Passion,2020.0,,99
tt10023286,The Humans,2021.0,,108
tt10028196,Laal Singh Chaddha,2022.0,,159
tt10032266,Asia,2020.0,,85
tt10032342,Cosas imposibles,2021.0,,89
tt10035194,Adventures in Game Chasing,2022.0,,101
tt10037014,Fear of Rain,2021.0,,109
tt10037934,One Moment,2021.0,,114
tt10038660,"Our Lady of San Juan, Four Centuries of Miracles",2021.0,,122
tt10039364,Mamma Moo Finds Her Way Home,2021.0,,65
tt10039524,Luxor,2020.0,,85
tt10040978,12 O'Clock,2021.0,,155
tt10042788,Promises,2021.0,,113
tt10042868,Generation Wrecks,2021.0,,112
tt10043660,Engaged in Vegas,2021.0,,79
tt10044946,A Trip with Your Wife,2021.0,,95
tt10047904,Darkling,2022.0,,104
tt10051088,Operation Curveball,2020.0,,108
tt10054778,Famous,2021.0,,110
tt10055546,Supercool,2021.0,,92
tt10062338,Earwig,2021.0,,114
tt10062556,Bhuj: The Pride of India,2021.0,,113
tt10062628,Shadow,2021.0,,115
tt10064134,The Reunion,2022.0,,85
tt10068716,Let Me Be Frank,2021.0,,82
tt10069166,Destination Marfa,2021.0,,97
tt10071606,Supreme Motherhood: The Journey of Mata Sahib Kaur,2022.0,,100
tt10072662,A Bookshop in Paris,2021.0,,89
tt10073452,As Far as I Know,2020.0,,123
tt10075380,The Last Warrior,2021.0,,111
tt10077034,Twist,2021.0,,90
tt10078904,Apex Predators,2021.0,,75
tt10080086,August Never Ends,2021.0,,95
tt10083174,The Stairs,2021.0,,92
tt10083340,Gangubai Kathiawadi,2022.0,,152
tt10083640,Bhoot Police,2021.0,,129
tt10088984,Between Two Worlds,2021.0,,106
tt10090058,Satria Dewa: Gatotkaca,2022.0,,129
tt10095582,The Tragedy of Macbeth,2021.0,,105
tt10096842,False Positive,2021.0,,92
tt10097362,The Exorcism of Carmen Farias,2021.0,,93
tt10097384,Home Sweet Home,2021.0,,110
tt10097436,The Eleventh Chapter,2019.0,,115
tt10098288,Roohi,2021.0,,134
tt10098448,Jesus Revolution,2023.0,,120
tt10098452,Animals,2021.0,,91
tt10101702,My Little Pony: A New Generation,2021.0,,90
tt10102080,Range Roads,2021.0,,86
tt10102402,The Campaign,2020.0,,93
tt10110614,Apples,2020.0,,91
tt10116022,Man vs Bigfoot,2021.0,,91
tt10121392,Thunder Force,2021.0,,106
tt10121508,Test Pattern,2019.0,,82
tt10126040,The Exchange,2021.0,,93
tt10126368,We Need to Talk,2022.0,,83
tt10127464,Reflection,2021.0,,109
tt10131024,Shut In,2022.0,,89
tt10131028,Honesty Weekend,2020.0,,90
tt10141026,Big Trouble in Seattle,2021.0,,76
tt10141678,Fate of the Night,2022.0,,71
tt10143308,Tout nous sourit,2020.0,,101
tt10147580,Three Wishes for Cinderella,2021.0,,87
tt10151074,Wish You Were Here,2021.0,,63
tt10151854,Shazam! Fury of the Gods,2023.0,,130
tt10152722,My Wonderful Wanda,2020.0,,111
tt10152736,Thalaivi,2021.0,,153
tt10153510,Corazón ardiente,2020.0,,85
tt10155748,Seneca - On the Creation of Earthquakes,2023.0,,112
tt10155932,Cinderella,2021.0,,113
tt10156216,Alia's Birth,2021.0,,66
