tconst,averageRating,numVotes
tt0120589,7.0,156
tt0273650,5.5,44
tt0274652,6.5,68
tt0293429,6.0,176893
tt0473100,5.6,99
tt0482496,7.5,28
tt0499097,5.8,59721
tt0770819,7.7,12
tt0840306,4.8,179
tt0870154,6.6,194956
tt0887261,6.0,37595
tt0993840,5.7,175378
tt0995854,5.9,2236
tt10003618,6.9,349
tt10004108,4.7,1171
tt10005622,4.8,118
tt10011228,5.3,2346
tt10015244,5.2,3574
tt10016180,6.3,107668
tt10022716,5.9,450
tt10022782,6.0,36
tt10023022,5.6,8963
tt10023172,5.4,739
tt10023286,6.2,8695
tt10028196,5.5,174444
tt10032266,6.7,632
tt10032342,7.7,786
tt10035194,6.3,172
tt10037014,5.9,8336
tt10037934,5.3,207
tt10038660,6.3,88
tt10039364,6.5,77
tt10039524,5.2,760
tt10040978,3.2,215
tt10042788,5.3,339
tt10042868,9.1,137
tt10043660,4.3,1104
tt10044946,6.2,24
tt10047904,7.1,620
tt10051088,6.9,286
tt10054778,6.5,80
tt10055546,5.3,999
tt10062338,5.4,1012
tt10062556,4.3,24629
tt10062628,6.2,166
tt10064134,4.7,51
tt10068716,7.3,33
tt10069166,4.0,1633
tt10071606,9.2,92
tt10072662,5.5,467
tt10073452,7.1,236
tt10075380,6.2,171
tt10077034,4.2,2812
tt10078904,1.5,372
tt10080086,4.8,54
tt10083174,4.3,5080
tt10083340,7.8,56803
tt10083640,7.0,26829
tt10088984,6.9,1503
tt10090058,5.4,682
tt10095582,7.1,35432
tt10096842,4.7,6376
tt10097362,3.9,254
tt10097384,5.4,377
tt10097436,6.9,440
tt10098288,4.3,10430
tt10098452,6.5,421
tt10101702,6.8,3982
tt10102080,6.4,79
tt10102402,6.4,177
tt10110614,6.8,4531
tt10116022,5.3,126
tt10121392,4.5,42998
tt10121508,6.4,808
tt10126040,5.6,482
tt10126368,4.5,137
tt10127464,5.9,33
tt10131024,5.8,9149
tt10131028,4.1,131
tt10141026,5.7,86
tt10141678,4.5,19
tt10143308,5.4,244
tt10147580,5.7,1825
tt10152722,6.4,406
tt10152736,5.9,30947
tt10153510,7.5,78
tt10155932,4.3,42854
tt10156586,2.7,116
tt10160886,4.8,1566
tt10160896,3.8,302
tt10160974,4.7,1448
tt1016150,7.8,134803
tt10164206,5.9,1255
tt10165918,3.6,2252
tt10166508,4.1,747
tt10166880,6.6,161
tt10168094,7.0,11
tt10168670,6.9,32928
tt10171796,5.7,134
tt10171848,5.3,54
tt10187208,6.7,24174
tt10187766,3.0,244
tt10188398,5.5,425
tt10189536,4.7,1974
tt10192406,6.6,13452
tt10192704,5.8,4359
tt10195722,5.6,67
tt10196620,5.0,808
tt10197632,4.6,128
tt10198564,4.2,1299
tt10204512,3.6,686
tt10207710,4.8,1038
tt10216812,1.5,201
tt10220406,2.6,251
tt10221732,6.7,19
tt10223460,6.1,33898
tt10225926,4.2,410
tt10228134,5.6,32345
tt10230376,4.4,76
tt10230994,5.7,26799
tt10231726,3.3,139
tt10233718,7.2,2086
tt1023464,2.8,555
tt10234650,5.1,21
tt10234990,4.9,110
tt10235670,6.1,311
tt10239320,6.2,559
tt10241024,6.3,51
tt10241772,5.4,2761
tt10242388,5.6,21837
tt10243676,5.5,682
tt10244550,6.6,70
tt10245106,7.1,73
tt10245776,3.2,249
tt10247678,3.3,4023
tt10254960,5.4,114
tt10260844,3.7,739
tt10262112,6.4,15
tt10262380,5.8,4235
tt10262648,7.2,12194
tt10265034,6.6,11649
tt10268316,4.4,22
tt10268488,6.8,19315
tt10270416,3.1,1003
tt10275546,7.0,711
tt10279362,5.9,7764
tt10280296,8.4,43290
tt10283270,6.2,1035
tt10283902,4.7,2747
tt10285752,6.3,267
tt10287908,5.8,347
tt10290116,6.2,1445
tt10290244,7.3,258
tt10290352,6.4,547
tt10290510,5.5,626
tt10293406,6.8,178441
tt10295212,8.4,123131
tt10295314,3.7,792
tt10295430,3.5,346
tt10298810,6.1,108537
tt10298840,5.6,34031
tt10298870,6.1,121
tt10299902,4.7,311
tt10300450,3.4,835
tt10300570,8.8,3817
tt10304142,6.1,64047
tt10306450,4.8,545
tt10306516,5.8,302
tt10307724,5.4,3620
tt10308502,4.4,388
tt10308878,3.4,1187
tt10309902,6.3,27533
tt10310074,5.9,1058
tt10311018,7.4,2046
tt10313806,3.6,371
tt10314040,4.4,714
tt10314548,5.8,1406
tt10315050,6.3,183
tt10323428,6.5,38
tt10323676,5.8,22788
tt10327252,5.4,35664
tt10329614,6.0,16857
tt10332588,6.1,10615
tt10333426,5.3,18445
tt10333688,5.6,60
tt10339052,6.2,4690
tt10340562,6.5,12923
tt10341034,7.2,11243
tt10341040,4.7,677
tt10341196,6.8,830
tt10342228,3.5,6139
tt10342730,5.2,55450
tt10342914,4.2,3931
tt10343028,6.6,8864
tt10343124,3.2,139
tt10344522,6.5,8445
tt10345782,5.7,2783
tt10346674,7.2,54
tt10350204,5.6,284
tt10352594,4.0,676
tt10353704,6.4,579
tt10354106,5.5,2015
tt10355058,5.5,84
tt10356564,4.1,456
tt10358566,8.2,21
tt10358782,7.0,945
tt10360772,6.2,4692
tt10360808,6.2,146
tt10360862,6.9,6111
tt10362566,5.3,3567
tt10365870,7.0,470
tt10365998,6.8,4104
tt10366418,8.1,63
tt10366428,6.0,720
tt10366460,8.0,138237
tt10366514,6.2,5577
tt10366574,7.3,3281
tt10367074,6.7,110
tt10368680,4.0,254
tt10369964,4.7,131
tt10370042,3.5,791
tt10370710,7.8,73765
tt10370822,5.6,2190
tt10373344,6.4,905
tt10375094,7.8,2699
tt10375396,5.8,1459
tt10375916,3.4,621
tt10376010,6.9,220
tt10376078,6.8,347
tt10376384,6.1,107
tt10376800,5.9,130
tt10377292,6.6,53
tt10380744,5.3,86
tt10380900,6.8,2499
tt10381014,6.5,2901
tt10381602,7.0,121
tt10383290,6.0,523
tt10384534,3.9,238
tt10393440,6.0,100
tt10393870,6.0,43401
tt10395866,6.7,1892
tt10396450,6.4,147
tt10398318,4.8,1263
tt10399608,6.2,5940
tt10400028,6.3,2507
tt10402832,3.9,80
tt10403420,6.2,28676
tt10404944,6.9,11335
tt10405022,5.0,273
tt10405142,6.1,2055
tt10405760,5.7,240
tt10406466,5.5,255
tt10406596,5.9,4285
tt10409102,4.9,39
tt10413092,6.0,84
tt10415494,6.0,1502
tt10415576,5.7,485
tt10415600,7.0,1217
tt10418662,4.9,22851
tt10418680,5.2,362
tt10423106,5.3,115
tt10423286,4.9,288
tt10426580,5.5,321
tt10426796,4.8,722
tt10430844,7.1,23
tt10430850,5.7,2682
tt10431332,6.3,51
tt10437216,2.2,116
tt10441822,5.7,1304
tt10442096,5.5,73
tt10442666,4.4,95
tt10448124,4.8,133
tt10448458,5.9,306
tt10448662,4.5,141
tt10449052,5.4,1228
tt10449564,5.9,26
tt10451312,5.3,2306
tt10451852,6.8,9035
tt10451914,5.4,43370
tt10452434,4.9,323
tt10455028,6.2,149
tt10457168,5.8,240
tt10471376,9.2,9
tt10472094,8.3,23
tt10473036,6.3,2059
tt10481760,7.2,134
tt10482032,6.3,27
tt10482844,3.7,253
tt10483044,7.0,577
tt10483152,6.8,305
tt10483386,5.9,9708
tt10486934,7.2,15
tt10487696,4.3,112
tt10487912,6.1,116
tt10488406,6.8,191
tt10489128,6.6,75
tt10489208,4.7,570
tt10489754,6.4,50
tt10497782,6.1,59
tt10498792,4.5,315
tt10500478,6.3,119
tt10501764,6.2,704
tt10503736,3.8,653
tt10503798,4.0,47
tt10503988,4.1,761
tt10505316,7.4,4732
tt10506876,5.9,533
tt10509374,8.3,21
tt10509906,3.7,1759
tt10510280,5.4,1091
tt10514056,6.8,476
tt10514240,6.0,357
tt10514932,8.7,73
tt10515864,6.3,4926
tt10515988,5.2,13494
tt10516196,6.5,2356
tt10518176,7.1,2725
tt10518732,5.2,118
tt10520754,5.8,152
tt10521092,7.1,32047
tt10521144,5.7,9473
tt10521244,7.1,69
tt10528948,4.5,1283
tt10530090,5.0,16
tt10530704,6.6,5
tt10530838,6.3,1090
tt10533804,4.4,619
tt10534500,8.8,13679
tt10535522,8.7,27
tt10537660,4.9,1270
tt10539172,3.5,465
tt10540510,7.2,1045
tt10542492,3.1,92
tt10544750,6.6,45
tt10545696,5.9,1883
tt10545704,7.0,1701
tt10547442,4.9,71
tt10551236,5.8,63
tt10553438,5.5,366
tt10554196,4.3,1760
tt10556674,3.8,254
tt10565666,4.3,179
tt10566928,7.4,810
tt10569922,4.1,4146
tt10572658,4.4,464
tt10573946,5.4,456
tt10573984,5.5,251
tt10578206,5.1,174
tt10579952,7.3,77711
tt10580188,3.5,384
tt10580194,3.9,226
tt10588504,7.1,39
tt10590506,5.9,294
tt10596572,7.2,59
tt10598156,4.0,11747
tt10601552,5.1,1671
tt10603372,6.8,74
tt10603466,6.8,660
tt10605812,5.9,3309
tt10608624,6.2,483
tt10612362,4.4,44
tt10616760,6.2,45
tt10617192,7.3,65
tt10622972,7.7,2504
tt10626774,6.3,38
tt10627530,8.2,409
tt10631148,5.0,912
tt10631206,6.9,14
tt10632226,6.9,190
tt10633456,7.4,83923
tt10635042,6.9,1363
tt10635588,6.9,50
tt10638320,3.7,154
tt10638522,8.4,113
tt10639214,4.5,417
tt10639624,4.2,74
tt10640346,7.4,58081
tt10640760,3.7,208
tt10643926,6.5,816
tt10644372,3.5,161
tt10644690,5.9,65
tt10644708,6.4,11196
tt10648342,6.3,342906
tt10648714,5.1,9587
tt10649008,5.6,109
tt10650376,5.4,327
tt10655356,6.4,25
tt10657684,4.2,437
tt10657992,4.6,107
tt10659270,6.8,130
tt10661100,6.1,114
tt10661500,4.3,144
tt10661710,6.8,4157
tt10661848,5.8,12024
tt10665338,5.5,88470
tt10665342,5.0,55500
tt10666594,5.4,114
tt10669914,5.3,77
tt10670858,7.4,41
tt10674614,4.7,123
tt10676012,6.3,27747
tt10680838,6.1,921
tt10687016,5.9,58
tt10687052,6.8,83
tt10687070,8.4,7366
tt10687116,7.4,10678
tt10687220,2.6,1622
tt10687506,6.8,16177
tt10689606,5.9,159
tt10691162,5.3,16880
tt10691828,5.8,169
tt10692578,5.8,245
tt10692788,7.3,3416
tt10692870,6.1,53
tt10695408,6.8,32
tt10696116,7.8,213
tt10696586,5.4,1047
tt10696784,6.6,64750
tt10696896,6.6,45309
tt10698174,5.2,12025
tt10698680,8.3,136539
tt10699086,5.2,35951
tt10701074,7.8,31028
tt10701788,2.9,343
tt10702148,6.9,4513
tt10703978,4.5,1156
tt10704342,5.0,294
tt10706676,6.3,62
tt10709484,6.8,9999
tt10712928,5.5,1140
tt10715446,4.7,1811
tt10719606,3.8,27
tt10719916,3.3,189
tt10719958,4.3,1644
tt10722406,5.1,333
tt10724432,9.6,5
tt10728214,5.9,88
tt10730376,3.1,353
tt10731256,6.2,101090
tt10731768,5.5,32809
tt10732462,5.9,185
tt10733228,5.9,43706
tt10734864,4.4,2127
tt10737358,3.9,368
tt10737860,5.5,50
tt10737918,6.5,2152
tt10738536,7.0,3880
tt10738906,5.5,2982
tt10739160,3.9,777
tt10739666,4.1,15866
tt10740928,4.7,374
