imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt0120589,0.0,0.0,,pt,2022-09-01,3.268,8.5,7.0
tt0273650,0.0,0.0,,en,2021-08-01,0.6,0.0,0.0
tt0274652,0.0,0.0,,en,2021-12-26,2.464,0.0,0.0
tt0293429,20000000.0,83601000.0,R,en,2021-04-07,389.904,7.2,4612.0
tt0473100,0.0,0.0,,en,2022-09-27,2.296,5.5,2.0
tt0482496,0.0,0.0,,ko,2021-11-17,0.84,5.0,1.0
tt0499097,0.0,0.0,R,en,2021-04-29,138.599,7.1,1911.0
tt0770819,250000.0,0.0,NR,en,2022-03-27,0.663,10.0,1.0
tt0840306,0.0,0.0,,nl,2021-02-20,1.96,0.0,0.0
tt0870154,200000000.0,220889000.0,PG-13,en,2021-07-28,300.038,7.6,4243.0
tt0887261,14000000.0,0.0,R,en,2022-09-28,319.806,6.479,398.0
tt0993840,0.0,780000.0,R,en,2021-05-14,143.364,6.3,3040.0
tt0995854,0.0,6200000.0,PG-13,en,2021-12-22,12.33,7.8,30.0
tt10003618,0.0,0.0,,sr,2021-06-02,0.6,6.5,2.0
tt10004108,0.0,0.0,R,en,2021-02-09,22.821,5.0,22.0
tt10005622,100000.0,0.0,,en,2021-01-09,1.116,0.0,0.0
tt10011228,0.0,0.0,,en,2021-02-03,17.448,6.6,87.0
tt10015244,0.0,0.0,,en,2022-10-04,4.024,5.333,3.0
tt10016180,30000000.0,29942700.0,R,en,2021-01-28,57.464,6.4,1567.0
tt10022716,0.0,0.0,R,en,2021-03-23,3.165,6.5,4.0
tt10022782,0.0,0.0,,en,2022-05-18,1.062,0.0,0.0
tt10023022,0.0,0.0,,en,2022-01-28,26.265,6.1,63.0
tt10023172,0.0,75167.0,,fr,2021-01-14,4.345,5.1,21.0
tt10023286,0.0,0.0,,en,2021-11-24,8.56,6.3,64.0
tt10028196,23000000.0,16000000.0,,hi,2022-08-11,4.926,6.348,33.0
tt10032266,0.0,0.0,,he,2021-04-01,8.686,5.6,8.0
tt10032342,0.0,0.0,,es,2021-06-17,34.144,8.7,227.0
tt10035194,0.0,0.0,NR,en,2022-01-20,0.6,0.0,0.0
tt10037014,0.0,0.0,PG-13,en,2021-02-12,82.305,7.2,355.0
tt10037934,0.0,0.0,,en,2021-03-20,1.856,0.0,0.0
tt10038660,0.0,0.0,,es,2021-01-01,9.753,7.8,4.0
tt10039364,0.0,0.0,,sv,2021-08-22,0.85,2.0,1.0
tt10039524,0.0,0.0,,en,2021-07-21,23.019,7.5,10.0
