Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1996 01:30,crescent city,ca,us,light,1800,30 minutes,unexplainable white light  above the mountain&#44 flashing it blue&#44 all animals making noises.,12/7/2006,41.7561111,-124.2005556
1/1/1996 03:00,hamilton hill (australia),,,unknown,900,15 mins,it came to me in the form of a dream. i was looking out side my windows of my bedroom and i saw 3 grey beings. they seemed to be about,11/28/2007,-32.075542,115.779634
1/1/1996 03:30,key largo,fl,us,triangle,240,3-4 min,3:30 in the morning observe a black triangular shaped craft fly directly over Key Largo  Fl. aproximately one tholusand ft. up and 2000,6/18/1998,25.0861111,-80.4475
1/1/1996 07:10,phoenix,az,us,,2100,35 min,4 adults see 4 lights move erratically for 35 min.  Then 5 silent boomerang ships w/ glowing silver underbellies fly by in V formation&#33,11/2/1999,33.4483333,-112.0733333
1/1/1996 12:00,san diego,ca,us,sphere,90,30seconds-1minute,A metalic sphere flew across the daytime sky.,12/9/2003,32.7152778,-117.1563889
1/1/1996 21:00,elizabethtown,nc,us,triangle,300,4-5 minutes,TRIANGLE SHAPED SHADOW BLOCKS OUT STARS,8/5/2001,34.6291667,-78.6055556
1/1/1996 23:00,seattle,wa,us,sphere,20,20 seconds,saw circle in lightning,10/31/2003,47.6063889,-122.3308333
1/3/1996 18:15,fort smith,ar,,,60,1 minute,Man taking out trash&#44 sees 3 greenish-yellow balls of light dip down out of clouds&#44 hover&#44 go back up.  Many other obervers&#44 reports.,11/2/1999,35.385924,-94.398547
1/3/1996 23:08,hayward (next to hawyard airport in; i was in airport),ca,us,unknown,6,5-6 seconds,I was with my brother at the airport fuleing up a plane. After that we drove the turkback to the fule center. I was looking toward the,3/7/1998,37.6688889,-122.0797222
1/5/1996 01:30,round lake,il,us,,180,3 min.,Woman sees 2 solid red lights move across sky&#44 maneuvering&#44 &quot;mimicking one another.&quot;  Stop&#44 become green; 1 disappears&#44 then 2nd.,11/2/1999,42.3533333,-88.0933333
1/5/1996 22:00,e. greenville,pa,,,2400,40 min.,Woman&#44 and 2 neighbors&#44 witness a large&#44 white light&#44 which approaches them.  Becomes gold&#44 w/ windows&#44 each a different color.,11/2/1999,40.406488,-75.501848
1/6/1996 04:30,nottingham (uk/england),,gb,diamond,120,2 minutes,bright glowing object left tracer mark as it sped off,2/14/2010,52.966667,-1.166667
1/7/1996 07:00,portland,or,us,,1800,30 min.,Couple witness 2-3 dozen points of light overhead moving SE to NW.  5 min. later&#44 they are seen going SE.  Moved sporadically.,11/2/1999,45.5236111,-122.675
1/7/1996 11:30,st. george,ut,us,,2,2 sec.,,11/3/2005,37.1041667,-113.5833333
1/7/1996 17:00,boise,id,us,triangle,300,4-5 minutes,Huge triangle shaped object seen hovering over Boise Idaho,3/2/2004,43.6136111,-116.2025
1/7/1996 21:00,logan,ut,us,,900,15 min.,Report of green laser beam&#44 probably emanating from the Dept. of Physics at Utah State University.,11/21/2010,41.7355556,-111.8336111
1/8/1996 17:00,langley (canada),bc,ca,disk,21600,approx. 5-6 hours,A disk flew directly over my head. My mom and I continued to watch it for 5-6 hours.,2/5/2003,49.1,-122.65
1/8/1996 21:20,wenatchee,wa,us,,660,11 min.,Radio personality goes out to car&#44 sees 3 &quot;golden globes of light&quot; moving  NNW to SSW.  Each ascends vert.  Other witnesses.,11/2/1999,47.4236111,-120.3091667
1/9/1996 04:45,rockville,md,us,,660,11 min.,Woman  awakened by a bizarre sound&#44 &quot;like a broken lawn mower.&quot;  Sees a bizarre&#44 elongate obj. w/ bright lights on both ends&#44 middle.,11/2/1999,39.0838889,-77.1530556
1/10/1996 18:50,meadville,pa,us,,1800,30 min.,Father and son witness a very peculiar&#44 multi-colored light&#44 as it appeared to rotate.,7/29/2010,41.6413889,-80.1516667
1/11/1996 17:58,woodinville,wa,us,,4,4 sec.,Seattle UFO investigator reports witnessing a brilliantly bright&#44 round&#44 yellow &quot;ball of light&quot; traveling extremely fast to the north.,8/5/2001,47.7544444,-122.1622222
1/13/1996 05:45,lancaster,mo,us,,5,5 sec.,MISSOURI HIGHWAY PATROL Report:  MO Highway Patrol Officer called to relay report from the Iowa Patrol.,8/5/2001,40.5337000,-92.5168
1/13/1996 21:00,selma,or,us,triangle,300,5 minutes,Sighting over Selma Oregon,6/12/2007,42.2791667,-123.6147222
1/14/1996 06:05,charleston,sc,us,,1500,25 min.,Two men witnessed a large&#44 white plume in the morning sky.  (May have been Delta rocket launched from Cape Kennedy at 0600 hrs.),11/2/1999,32.7763889,-79.9311111
1/14/1996 17:00,chesterfield,va,us,,3600,1 hour,,11/3/2005,37.3769444,-77.5061111
1/15/1996 00:00,panama city beach,fl,us,circle,15,15 sec.,Facing the gulf of mexico we noticed a luminescent circular object appear out over the gulf. It was translucent and glowing,11/30/1999,30.1763889,-85.8055556
1/15/1996 02:30,hill city,mn,us,oval,1800,30 mins,Something odd scared the hell out of me and I swear to god it was real,12/23/2002,46.9933333,-93.5983333
1/15/1996 18:00,loredo/eagle pass (between),tx,,formation,90,30 seconds - 1 minute,Liner lights.  4&#44 turn off&#44 3&#44 turn off2&#44 turn off.  High and near the U.S./Mexico Border,3/7/1998,28.709143,-100.499521
